,Date,BTC_Price,Action,BTC_Held,USD_Balance
226,2023-02-07 06:30:00+00:00,22927.38,HOLD,0.0,10000.0
227,2021-04-24 21:00:00+00:00,50859.99,HOLD,0.0,10000.0
228,2023-06-01 09:30:00+00:00,26908.63,HOLD,0.0,10000.0
229,2021-06-17 20:00:00+00:00,37771.96,HOLD,0.0,10000.0
230,2020-12-01 03:30:00+00:00,19419.74,HOLD,0.0,10000.0
231,2023-07-21 22:00:00+00:00,29920.0,HOLD,0.0,10000.0
232,2020-07-01 21:00:00+00:00,9230.89,HOLD,0.0,10000.0
233,2022-08-05 15:30:00+00:00,22988.25,HOLD,0.0,10000.0
234,2021-10-15 12:00:00+00:00,59441.5,HOLD,0.0,10000.0
235,2023-07-24 21:00:00+00:00,29164.03,HOLD,0.0,10000.0
236,2021-08-21 23:00:00+00:00,49138.21,HOLD,0.0,10000.0
237,2022-06-22 00:00:00+00:00,20649.17,HOLD,0.0,10000.0
238,2020-03-09 04:00:00+00:00,7894.97,HOLD,0.0,10000.0
239,2021-11-03 19:00:00+00:00,63000.01,HOLD,0.0,10000.0
240,2022-03-06 06:30:00+00:00,39472.27,HOLD,0.0,10000.0
241,2020-11-22 22:00:00+00:00,18619.04,HOLD,0.0,10000.0
242,2020-11-21 16:00:00+00:00,18839.04,HOLD,0.0,10000.0
243,2021-05-26 03:00:00+00:00,39421.53,HOLD,0.0,10000.0
244,2023-01-08 11:30:00+00:00,16927.42,HOLD,0.0,10000.0
245,2020-04-06 21:00:00+00:00,7260.97,HOLD,0.0,10000.0
246,2022-06-28 20:30:00+00:00,20277.57,HOLD,0.0,10000.0
247,2020-03-28 09:30:00+00:00,6245.35,HOLD,0.0,10000.0
248,2022-05-28 04:00:00+00:00,28856.27,HOLD,0.0,10000.0
249,2021-09-14 04:30:00+00:00,45083.6,HOLD,0.0,10000.0
250,2020-11-22 13:00:00+00:00,18229.54,HOLD,0.0,10000.0
251,2022-10-29 17:30:00+00:00,20808.78,HOLD,0.0,10000.0
252,2021-07-11 23:00:00+00:00,34287.46,HOLD,0.0,10000.0
253,2022-03-08 03:30:00+00:00,38695.87,HOLD,0.0,10000.0
254,2022-01-03 11:30:00+00:00,47378.0,HOLD,0.0,10000.0
255,2021-11-30 02:30:00+00:00,57357.85,HOLD,0.0,10000.0
256,2020-08-21 16:30:00+00:00,11667.59,HOLD,0.0,10000.0
257,2022-08-03 03:30:00+00:00,22862.72,HOLD,0.0,10000.0
258,2021-05-09 04:30:00+00:00,58157.87,HOLD,0.0,10000.0
259,2022-01-10 05:00:00+00:00,42110.01,HOLD,0.0,10000.0
260,2023-02-10 10:30:00+00:00,21849.38,HOLD,0.0,10000.0
261,2022-03-09 22:00:00+00:00,41990.52,HOLD,0.0,10000.0
262,2022-08-03 02:30:00+00:00,22776.69,HOLD,0.0,10000.0
263,2020-12-14 16:30:00+00:00,19152.37,HOLD,0.0,10000.0
264,2021-12-17 10:00:00+00:00,46855.9,HOLD,0.0,10000.0
265,2021-01-23 17:30:00+00:00,32239.09,HOLD,0.0,10000.0
266,2020-07-19 03:00:00+00:00,9158.0,HOLD,0.0,10000.0
267,2022-12-26 10:30:00+00:00,16847.65,HOLD,0.0,10000.0
268,2023-06-12 23:30:00+00:00,25905.19,HOLD,0.0,10000.0
269,2023-07-11 22:30:00+00:00,30584.57,HOLD,0.0,10000.0
270,2021-11-06 11:30:00+00:00,60327.47,HOLD,0.0,10000.0
271,2020-10-26 02:30:00+00:00,13087.7,HOLD,0.0,10000.0
272,2022-07-25 03:00:00+00:00,21867.75,HOLD,0.0,10000.0
273,2021-01-04 00:00:00+00:00,32789.38,HOLD,0.0,10000.0
274,2022-04-30 09:30:00+00:00,38622.5,HOLD,0.0,10000.0
275,2021-01-19 12:30:00+00:00,36782.17,HOLD,0.0,10000.0
276,2020-02-25 08:00:00+00:00,9575.15,HOLD,0.0,10000.0
277,2021-04-26 21:00:00+00:00,52671.84,HOLD,0.0,10000.0
278,2020-09-29 17:00:00+00:00,10661.82,HOLD,0.0,10000.0
279,2022-06-23 13:00:00+00:00,20580.01,HOLD,0.0,10000.0
280,2020-02-24 02:00:00+00:00,9875.79,HOLD,0.0,10000.0
281,2022-08-16 20:00:00+00:00,23933.73,HOLD,0.0,10000.0
282,2020-09-03 19:00:00+00:00,10701.56,HOLD,0.0,10000.0
283,2020-07-20 08:30:00+00:00,9189.39,HOLD,0.0,10000.0
284,2022-04-03 12:00:00+00:00,46315.07,HOLD,0.0,10000.0
285,2022-02-11 09:00:00+00:00,43443.56,HOLD,0.0,10000.0
286,2022-03-27 18:00:00+00:00,44887.89,HOLD,0.0,10000.0
287,2021-12-23 22:30:00+00:00,50758.94,HOLD,0.0,10000.0
288,2023-03-06 17:30:00+00:00,22481.63,HOLD,0.0,10000.0
289,2022-07-13 12:00:00+00:00,20055.09,HOLD,0.0,10000.0
